instance_id,num_customers,num_charging_stations,total_distance,total_energy,total_time,num_vehicles,charging_stops,computation_time,max_time
c10_9,10,10,534.5697536021207,133.36620944264124,21.38279014408483,4,0,0.0005240440368652344,8.878632255810578
c10_5,10,10,492.80597988252555,121.92891381427214,19.712239195301024,4,0,0.0006122589111328125,6.083765673221012
c10_12,10,10,404.45158809161865,100.0334024736481,16.17806352366475,4,0,0.0005729198455810547,4.983222215117638
c10_8,10,10,448.4730445969532,111.20293120474415,17.93892178387813,4,0,0.002441883087158203,5.458797824246808
c10_4,10,10,493.77064107406693,123.21058663017504,19.750825642962678,4,0,0.002476930618286133,6.613995893623917
c10_13,10,10,468.35483059157923,117.03120494739017,18.73419322366317,4,0,0.0027399063110351562,7.076922749079256
c10_14,10,10,462.667678466484,115.56186736625506,18.506707138659362,4,0,0.0026874542236328125,7.183899823622751
c10_18,10,10,533.7081086591699,133.54872979900213,21.348324346366795,4,0,0.0017237663269042969,8.316230506670106
c10_2,10,10,535.7502359670259,132.60988526264563,21.430009438681036,4,0,0.0016880035400390625,6.119841694401672
c10_3,10,10,476.2432138823576,118.04272838699791,19.049728555294305,4,0,0.0015988349914550781,4.959727619349675
c10_19,10,10,501.5715783105855,124.18472559717398,20.062863132423416,4,0,0.0017228126525878906,5.651113521015584
c10_20,10,10,472.27146244534606,118.83424594254902,18.89085849781384,4,0,0.0009391307830810547,7.514034750219689
c10_15,10,10,431.07382446156953,106.9684525763987,17.24295297846278,4,0,0.004436016082763672,6.0598302065896394
c10_16,10,10,472.36100124210617,117.38830334740867,18.89444004968425,4,0,0.0046422481536865234,5.969346144770784
c10_1,10,10,500.28714144397736,124.7101407297996,20.011485657759096,4,0,0.004019021987915039,6.887108694603102
c10_17,10,10,518.028660406123,128.56871587040777,20.72114641624492,4,0,0.0011429786682128906,6.046026512573707
c10_10,10,10,455.05098445664197,113.23401442698636,18.202039378265678,4,0,0.0021889209747314453,5.622413439104509
c10_11,10,10,490.86331540021735,121.87777574884849,19.634532616008695,4,0,0.0021750926971435547,6.619389102347959
c10_7,10,10,441.1922161213322,109.10074881067297,17.647688644853282,4,0,0.0034189224243164062,5.052983627825645
c10_6,10,10,509.5283157864219,127.16610486822252,20.38113263145687,4,0,0.0024499893188476562,7.841190590929072
c20_3,20,10,671.322611977618,171.84179046334756,29.125631751831996,4,1,0.0018291473388671875,12.746903770185488
c20_20,20,10,601.8318717659103,150.6215958523795,24.07327487063641,4,0,0.004273891448974609,6.678402902684595
c20_17,20,10,701.6388725380954,176.93970589006412,28.06555490152381,4,0,0.007440090179443359,8.849798687202387
c20_2,20,10,621.2826013928316,157.38649738950983,24.85130405571326,4,0,0.004810333251953125,8.51450551472233
c20_16,20,10,636.8758698090356,161.5468207342985,25.47503479236142,4,0,0.0029859542846679688,9.232996700702243
c20_9,20,10,704.609542386743,179.0180381346328,30.45710896819699,4,1,0.007900238037109375,13.770692815390104
