instance_id,num_customers,num_charging_stations,total_distance,total_energy,total_time,num_vehicles,charging_stops,computation_time,max_time
c10_5,10,10,494.5647141028528,121.2153933559429,19.78258856411411,4,0,0.027810096740722656,6.675006574565458
c10_12,10,10,355.6087522076329,87.47132029016461,14.224350088305314,4,0,0.034377336502075195,4.662719298307378
c10_9,10,10,447.79492788176753,110.70491496116789,17.911797115270698,4,0,0.0622859001159668,6.527104612101848
c10_8,10,10,388.8416233136883,95.0641903035679,15.55366493254753,4,0,0.06051206588745117,5.015256786795588
c10_13,10,10,405.56503234571574,100.25654693321853,16.222601293828628,4,0,0.06223106384277344,5.068787517453229
c10_4,10,10,453.6442937431614,112.47232518485345,18.145771749726457,4,0,0.05567574501037598,5.451129640873563
c10_14,10,10,466.5679904067757,116.2866427258793,18.662719616271026,4,0,0.05994606018066406,5.672654081071369
c10_18,10,10,470.6760059553185,117.47269047490603,18.82704023821274,4,0,0.04711198806762695,5.64334110661902
c10_2,10,10,535.7502359670259,132.60988526264563,21.430009438681036,4,0,0.05112099647521973,6.119841694401672
c10_3,10,10,446.17800005870913,111.13733100558863,17.847120002348365,4,0,0.05228114128112793,4.892911041199132
c10_19,10,10,465.6426504855465,114.52468702646092,18.625706019421855,4,0,0.04247784614562988,5.894757796577388
c10_15,10,10,414.60747190383654,103.07629129159233,16.584298876153465,4,0,0.041191816329956055,5.913726788931562
c10_1,10,10,499.08056088121236,124.69663004222735,19.963222435248497,4,0,0.04003596305847168,6.887108694603102
c10_20,10,10,434.3203518488647,107.21371081805819,17.37281407395459,4,0,0.04432177543640137,6.236059306755937
c10_17,10,10,492.40386147139634,121.82917420651654,19.69615445885585,4,0,0.04370307922363281,6.911081725729346
c10_16,10,10,425.79837157315035,105.93767159985813,17.031934862926015,4,0,0.04645395278930664,5.459908990751507
c10_7,10,10,409.8752228015493,101.2763212664743,16.39500891206197,4,0,0.04114103317260742,6.436494841043372
c10_10,10,10,448.8300304885318,110.02576642664293,17.953201219541267,4,0,0.040862083435058594,5.659132769516617
c10_11,10,10,487.89643750541535,121.32946374536071,19.51585750021661,4,0,0.046716928482055664,6.185744391612673
c10_6,10,10,499.69905855612814,123.05617811976529,19.987962342245126,4,0,0.035143375396728516,7.18040405506424
c20_3,20,10,612.579545218751,155.2871922044322,24.503181808750043,4,0,0.1484529972076416,8.162382276867204
c20_17,20,10,568.7500696311868,142.9540004210642,22.75000278524747,4,0,0.1581108570098877,6.349805786436625
c20_20,20,10,587.3045088327644,146.8638218961559,23.49218035331058,4,0,0.15468788146972656,6.678402902684595
c20_2,20,10,590.783960026745,149.7230561342885,23.631358401069804,4,0,0.1606132984161377,6.7527638997285955
c20_9,20,10,583.2409487026687,147.43160822318185,23.329637948106743,4,0,0.16013193130493164,6.731517445123975
c20_11,20,10,649.7833733055412,164.45399178590947,25.991334932221648,4,0,0.16046810150146484,7.710993725237788
c20_10,20,10,551.6579683500414,138.15843141065915,22.06631873400166,4,0,0.15535497665405273,6.854153155275374
c20_4,20,10,605.9930592140352,151.77372551525477,24.239722368561406,4,0,0.15864896774291992,7.663790466292166
c20_5,20,10,567.6166297922649,141.39044267050883,22.704665191690594,4,0,0.16381311416625977,6.472896395110825
c20_8,20,10,555.5317885214821,140.18026648935182,22.22127154085928,4,0,0.16044116020202637,6.84306299152391
c20_16,20,10,665.2642058121323,168.70393897334378,26.610568232485292,4,0,0.16698598861694336,8.099504427837962
c20_12,20,10,628.7420700056576,159.25815727815916,25.149682800226305,4,0,0.15257501602172852,8.456746859061294
c20_7,20,10,628.0049743967202,159.14578085130665,25.120198975868806,4,0,0.16214227676391602,8.076907025146715
c20_13,20,10,606.649570558739,153.17966495123198,24.265982822349557,4,0,0.16043376922607422,6.993109893820968
c20_6,20,10,547.9247537773526,136.67891416659455,21.91699015109411,4,0,0.15509605407714844,6.969864665661164
c20_1,20,10,671.1526085582832,168.693042647437,26.84610434233133,4,0,0.15377378463745117,6.972680086272019
c20_15,20,10,645.1600560078173,164.24056518005477,25.806402240312693,4,0,0.14859414100646973,8.06697996681168
c20_19,20,10,578.9826984713496,144.7721185836982,23.15930793885398,4,0,0.16120505332946777,8.119767692110662
c20_14,20,10,632.2864820647392,158.0513435923982,25.291459282589564,4,0,0.15476489067077637,8.131853218669603
c20_18,20,10,642.8426213067976,160.93267250688973,25.713704852271903,4,0,0.15961885452270508,7.520308304330262
c50_6,50,10,1189.3626877818108,301.9229525876233,47.57450751127244,8,0,3.23382306098938,7.919380468997182
c50_7,50,10,1220.8012104456288,310.56492084348196,48.83204841782515,8,0,3.276092767715454,7.5844250844123735
c50_17,50,10,1156.3157281661488,294.1714924633688,46.25262912664596,8,0,3.320941925048828,7.268573480124884
c50_10,50,10,1223.5536551818113,310.9143012084493,48.94214620727246,8,0,3.332792043685913,7.823574995782293
c50_20,50,10,1272.5190173422488,324.37222012159197,50.900760693689946,8,0,3.339852809906006,7.833932580950059
c50_18,50,10,1271.7590005793247,324.42107929257577,50.870360023172985,8,0,3.3367509841918945,7.5946022101017245
c50_11,50,10,1267.2401038720454,322.5611796277725,50.689604154881806,8,0,3.354109048843384,7.911239310924993
c50_1,50,10,1218.776571052497,310.3738495619952,51.02379011482715,8,1,3.356748580932617,12.32872148077344
c50_14,50,10,1231.0170412983762,313.29570297491,49.240681651935034,8,0,3.3587026596069336,9.018342725129523
c50_16,50,10,1289.0846182493142,326.5451528772144,51.56338472997257,8,0,3.3967196941375732,8.735067954721098
c50_12,50,10,1199.0724009797434,306.3692780257511,47.96289603918973,8,0,3.281430959701538,7.228068899041443
c50_3,50,10,1188.7406250033778,302.4032533612078,47.54962500013511,8,0,3.3227667808532715,7.494178714565515
c50_15,50,10,1273.8516460200126,322.9849673315301,50.95406584080049,8,0,3.339585781097412,7.465096559935918
c50_2,50,10,1284.640264646449,325.84531619479156,51.385610585857954,8,0,3.380525827407837,8.004044036242073
c50_19,50,10,1217.1526135871775,309.9346984163009,48.6861045434871,8,0,3.367587089538574,7.872764813699833
c40_7,40,10,1071.3759100841742,269.6140636714053,42.85503640336696,8,0,1.5733129978179932,7.313636592823016
c40_10,40,10,1107.6236852754482,279.6935937257768,44.30494741101793,8,0,1.6024420261383057,8.778584895575989
c40_20,40,10,1132.552292087855,286.21639324413763,45.302091683514206,8,0,1.5775480270385742,8.648259094183684
c40_11,40,10,1190.5966549156742,299.52167379047546,47.62386619662696,8,0,1.6482720375061035,6.683028936006711
c40_16,40,10,1067.2914488063448,268.23040235059386,42.69165795225378,8,0,1.591416835784912,6.19662822105076
c40_6,40,10,1203.179064566092,303.2608681254901,48.12716258264368,8,0,1.6796159744262695,8.122062973636647
c40_17,40,10,1138.2692511880603,286.93521754884404,45.5307700475224,8,0,1.6453020572662354,7.8096848503834355
c40_1,40,10,1107.5120966499144,279.1362340706388,44.30048386599657,8,0,1.634850263595581,6.800763587475487
c40_14,40,10,1126.5250137389419,285.11026704736685,45.061000549557676,8,0,1.6258182525634766,8.25407342003341
c40_18,40,10,1162.7972213887253,292.2353547659754,46.51188885554901,8,0,1.649872064590454,8.39320905275986
c50_5,50,10,1222.5861089275215,310.42464182371407,48.90344435710086,8,0,3.6231439113616943,7.670377195399125
c40_2,40,10,1069.6195607632774,269.50484021721513,42.78478243053109,8,0,1.9026107788085938,6.668753964166226
c40_15,40,10,1133.2731600857817,285.4931405276735,45.33092640343127,8,0,1.8781428337097168,8.039091821240515
c40_12,40,10,1166.3092774975232,294.34921160734393,46.65237109990093,8,0,1.8719451427459717,7.957981365804166
c40_3,40,10,1074.7013312737977,269.8821144773012,42.9880532509519,8,0,1.9402122497558594,6.751602468560923
c40_19,40,10,1079.6036606718717,272.20787838296434,43.18414642687488,8,0,1.8958909511566162,7.53179568092218
c50_8,50,10,1237.9273360882767,313.1336305262607,49.51709344353105,8,0,3.5953781604766846,7.992128678121401
c50_9,50,10,1141.3165364638046,288.115871136898,45.65266145855219,8,0,3.6957459449768066,7.68432589442196
c40_4,40,10,1127.73651029515,284.0126674465556,45.109460411806,8,0,1.9509639739990234,6.96589482314095
c50_4,50,10,1188.6602821961,302.1762909905796,47.54641128784399,8,0,3.668740749359131,7.293933069605317
c50_13,50,10,1202.027116459703,304.4286672898045,48.08108465838812,8,0,3.6709649562835693,7.720881024417762
c40_8,40,10,1118.3670559023249,282.63068826091705,44.734682236093,8,0,1.9552381038665771,8.311030798026552
c40_5,40,10,1084.2678712282168,272.8417934870198,43.37071484912866,8,0,1.9211621284484863,8.465723792866225
c40_9,40,10,1169.7625820383453,295.25607844346075,46.79050328153382,8,0,1.9780278205871582,6.346545213576004
c40_13,40,10,1152.1958621129681,289.30792160206704,46.08783448451872,8,0,2.0320281982421875,6.780701913276577
c30_2,30,10,767.2623840741478,198.50752910686856,32.963222635693185,4,1,0.6361589431762695,14.493458591426025
c30_16,30,10,828.0428275591287,212.81449822585932,35.39444037509242,4,1,0.634300708770752,13.764183922825657
c30_17,30,10,810.3230632088761,203.41121621472516,32.41292252835504,5,0,0.7647700309753418,7.7266406267347
c30_13,30,10,798.4485480202072,207.03370935773762,34.210669193535566,4,1,0.5904057025909424,16.90770506132578
c30_4,30,10,727.4705339296104,190.05922773863134,31.371548629911686,4,1,0.7383759021759033,12.786961185541053
c30_6,30,10,813.4201105696218,209.47207477524427,34.80953169551215,4,1,0.6502411365509033,12.3421736489953
c30_8,30,10,768.6453321075254,200.98364912827074,33.01854055702829,4,1,0.8216488361358643,14.931092808835434
c30_11,30,10,787.8214070730853,201.00613583516187,31.512856282923412,4,0,0.7889118194580078,8.927311603701039
c30_7,30,10,686.261918936686,177.51091119317599,27.450476757467435,4,0,0.6568999290466309,7.762088775148198
c30_20,30,10,756.7402616155708,193.8988489369915,32.315065010077376,4,1,0.9017250537872314,11.873364431997532
c30_9,30,10,757.0590116322173,195.58280397472055,32.55508773801596,4,1,0.7843809127807617,12.975904623640329
c30_3,30,10,800.3404388793524,200.9877548999966,32.01361755517409,5,0,0.977168083190918,8.048880774578137
c30_10,30,10,719.9148784275105,186.82542101934308,31.069322409827695,4,1,0.9873557090759277,12.62829987064437
c30_5,30,10,848.1764193504994,219.5093877489578,36.199784046747254,4,1,0.9859318733215332,14.17614040081484
c30_12,30,10,851.9402924859816,213.87949331855694,34.07761169943927,5,0,0.8725230693817139,8.251575100209203
c30_18,30,10,770.3919907523355,192.26929232627057,30.81567963009342,5,0,0.5394470691680908,7.691160298040073
c30_1,30,10,753.6474486062881,195.0668484884858,32.418625216978796,4,1,0.46642398834228516,11.791528101944397
c30_15,30,10,741.7710950257101,186.47755052815074,29.670843801028404,5,0,0.7106602191925049,7.13239895613082
c30_19,30,10,799.4352563602736,202.31462193147598,31.977410254410934,5,0,0.6801910400390625,8.259500416509738
c30_14,30,10,900.4691147689357,223.64956620927774,36.01876459075743,5,0,0.5650792121887207,8.190207438014014
